age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
43,5,170721,15,10,2,2,0,4,1,0,0,20,38,0
37,3,171968,8,11,2,0,0,4,1,0,0,40,38,0
34,3,420749,11,9,2,2,0,4,1,0,0,30,10,0
32,6,169583,10,16,4,9,1,4,0,0,0,70,38,0
31,3,49325,11,9,2,6,0,4,1,0,0,40,38,0
57,3,112840,15,10,2,11,0,4,1,0,0,50,38,1
72,5,285408,14,15,2,9,0,4,1,0,2246,28,38,1
56,3,235205,11,9,6,7,4,4,0,0,0,40,38,0
40,3,181015,11,9,5,7,4,4,0,0,0,47,38,0
27,3,175034,9,13,4,0,1,4,0,0,0,40,38,0
32,3,80058,1,7,0,11,1,4,1,0,0,43,38,1
21,-1,262241,11,9,4,-1,2,4,1,0,0,40,38,0
35,3,148903,11,9,2,7,5,4,0,0,0,16,38,1
54,1,173050,12,14,2,9,0,4,1,7688,0,40,38,1
33,3,62155,15,10,4,11,1,2,1,0,0,35,38,0
27,3,423250,15,10,2,3,0,4,1,0,0,60,38,0
68,3,274096,0,6,0,13,1,4,1,0,0,20,38,0
54,3,206964,15,10,2,11,0,4,1,0,0,40,38,1
28,-1,30237,15,10,4,-1,4,4,0,0,0,40,38,0
31,-1,213771,11,9,6,-1,4,4,0,0,0,36,38,0
36,1,175255,11,9,2,7,5,4,0,0,0,35,38,0
21,-1,278391,15,10,4,-1,3,4,1,0,0,16,38,0
17,3,230789,6,5,4,11,3,2,1,0,0,22,38,0
63,1,28856,5,4,2,7,0,4,1,0,0,55,38,0
35,1,38948,15,10,2,10,0,4,1,0,0,50,38,0
44,5,120539,9,13,4,11,1,4,1,0,0,50,38,1
55,3,70088,12,14,2,9,0,4,1,0,0,40,38,1
30,3,112650,11,9,0,2,3,4,1,0,0,40,38,0
43,3,143046,11,9,2,6,5,4,0,0,0,40,11,0
50,3,55527,7,12,0,2,1,2,1,0,0,45,38,0
50,6,229272,11,9,2,2,0,2,1,0,0,40,38,1
23,3,120773,11,9,4,0,1,4,0,0,0,40,38,0
31,1,331126,9,13,4,10,3,2,1,0,0,48,38,0
18,5,213024,15,10,4,4,3,4,1,0,0,30,38,0
29,3,187073,9,13,4,2,1,4,1,0,0,40,38,0
49,6,216734,14,15,0,3,1,4,0,0,0,40,38,0
51,3,87205,9,13,0,9,4,4,0,0,0,55,8,0
40,3,188942,15,10,2,11,5,2,0,0,0,40,32,0
40,3,96509,15,10,2,9,0,0,1,0,0,40,38,1
34,3,72793,9,13,4,7,1,4,0,0,0,15,38,0
35,3,127306,8,11,4,0,3,4,0,14344,0,40,38,1
33,6,119628,10,16,2,9,0,1,1,0,0,50,16,0
43,4,140988,9,13,2,11,2,1,1,0,0,45,18,0
47,3,280483,11,9,5,2,4,2,0,0,0,40,38,0
41,6,47170,9,13,2,9,5,0,0,0,0,48,38,1
52,3,54933,12,14,0,9,3,4,0,0,0,40,38,0
31,3,49923,11,9,2,13,0,4,1,0,0,40,38,0
78,3,180239,12,14,6,2,4,1,1,0,0,40,34,0
24,3,454941,11,9,2,2,0,4,1,0,0,40,38,0
21,6,184678,15,10,4,0,3,4,0,0,0,35,38,0
34,6,221966,9,13,4,9,1,4,1,0,0,45,38,0
26,3,78258,8,11,0,9,4,4,0,0,0,36,38,0
21,3,54472,11,9,4,7,4,4,0,0,0,40,38,0
19,6,112432,15,10,4,0,3,4,1,0,0,10,38,0
72,5,284120,15,10,2,11,0,4,1,0,0,40,38,0
47,3,345493,14,15,2,9,0,1,1,99999,0,55,35,1
25,3,252752,15,10,4,9,1,4,0,0,0,8,38,0
47,4,483596,11,9,2,3,0,4,1,2885,0,32,38,0
37,5,204501,9,13,2,11,0,4,1,0,0,20,1,1
59,3,96840,11,9,0,7,4,4,0,0,0,40,38,0
56,3,56331,11,9,4,6,1,4,1,0,0,32,38,0
19,3,104830,5,4,4,13,4,4,1,0,0,25,12,0
33,6,37070,12,14,2,9,0,4,1,0,0,60,1,0
47,3,76612,11,9,2,9,0,4,1,0,0,50,38,0
28,3,70034,5,4,4,0,3,4,1,0,0,40,31,0
31,4,236415,15,10,2,0,5,4,0,0,0,20,38,1
32,3,153588,11,9,0,2,1,4,1,0,0,40,38,0
37,3,454915,0,6,0,2,1,4,1,0,0,40,38,0
44,3,125461,10,16,2,3,0,4,1,0,0,60,38,1
40,1,179580,11,9,2,0,5,4,0,0,0,40,38,0
25,3,458549,3,2,2,4,0,4,1,0,0,96,25,0
21,3,187513,8,11,4,2,4,4,1,0,0,40,38,0
46,3,97883,15,10,0,0,1,4,0,0,0,40,38,0
29,3,120359,11,9,2,0,0,4,1,0,0,40,38,0
