age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
54,3,220115,15,10,0,0,1,4,1,0,0,30,38,0
47,6,54887,10,16,2,9,0,4,1,0,0,40,38,1
22,3,219086,15,10,2,11,0,4,1,0,0,55,38,0
32,3,459007,11,9,2,10,0,4,1,0,0,90,38,0
54,0,127455,15,10,2,10,0,4,1,0,0,48,38,1
38,3,111398,9,13,2,9,5,4,0,7688,0,40,38,1
50,3,139464,9,13,0,9,4,4,0,0,0,36,20,0
47,3,298037,8,11,0,9,4,4,0,0,0,44,38,0
27,3,91189,11,9,4,0,3,4,1,0,0,40,38,0
33,3,149184,11,9,4,9,1,4,1,0,0,60,38,1
18,3,126125,11,9,4,7,3,4,1,0,0,20,38,0
41,3,34037,11,9,4,5,1,4,1,0,0,40,38,0
51,4,260938,15,10,2,3,0,4,1,0,0,50,38,1
54,3,340476,11,9,5,11,4,4,0,0,0,35,38,0
38,3,27408,11,9,0,2,4,4,1,0,0,50,38,0
29,0,106179,15,10,4,9,1,4,0,0,1408,40,38,0
35,3,188069,12,14,4,9,1,4,1,13550,0,55,-1,1
28,3,30912,11,9,2,7,0,4,1,0,0,43,38,0
46,3,90758,12,14,4,12,1,4,1,0,0,35,38,1
40,3,226388,11,9,2,2,0,2,1,0,0,40,38,0
31,3,164243,15,10,2,2,0,4,1,0,1579,40,38,0
29,3,228346,8,11,4,2,1,4,1,0,0,50,38,0
55,3,179534,1,7,6,5,4,4,0,0,0,40,38,0
59,0,293971,15,10,2,12,0,4,1,0,0,40,38,1
22,3,162667,11,9,4,5,3,4,1,0,0,50,31,0
24,3,174043,9,13,4,7,1,4,1,0,0,40,38,0
49,1,37353,12,14,2,3,0,4,1,0,0,40,38,1
49,3,277434,11,9,2,13,0,4,1,0,0,50,38,0
48,1,102076,9,13,4,0,4,4,0,0,0,35,38,0
28,3,114158,9,13,4,9,3,4,0,0,0,15,38,0
41,3,247752,11,9,2,11,0,4,1,0,0,40,38,0
53,3,58985,15,10,2,9,5,4,0,0,0,24,38,0
46,5,177407,11,9,2,11,0,4,1,0,0,50,38,0
62,5,171315,9,13,2,9,0,4,1,0,0,60,38,1
50,3,110748,15,10,4,9,1,4,1,0,0,40,38,0
25,3,36984,9,13,4,9,1,4,0,0,0,50,38,0
43,3,48882,11,9,0,0,2,4,0,0,0,40,38,0
36,3,411797,9,13,4,9,3,4,0,0,0,35,38,1
50,1,163921,5,4,2,13,0,4,1,0,0,40,38,0
26,3,142689,9,13,4,9,1,4,1,0,0,45,-1,0
48,3,216214,1,7,2,6,0,4,1,0,0,40,38,0
35,3,125933,9,13,2,2,0,4,1,0,0,50,38,1
64,6,114650,6,5,2,2,0,4,1,0,0,40,38,0
19,3,261259,11,9,4,5,3,4,1,0,0,20,38,0
59,1,140478,12,14,2,9,0,4,1,0,0,40,38,1
32,3,53373,15,10,2,2,0,4,1,0,0,36,38,0
32,3,218322,11,9,2,2,0,4,1,0,0,40,38,0
39,3,287306,15,10,5,0,4,2,0,0,0,40,38,0
30,3,189620,9,13,4,9,3,4,0,0,0,40,30,0
23,6,199915,11,9,4,7,3,4,0,0,0,21,38,0
35,4,338320,11,9,2,3,0,4,1,0,0,50,38,1
55,3,70088,12,14,2,9,0,4,1,0,0,40,38,1
44,3,201599,1,7,4,6,4,2,0,0,0,40,38,0
24,3,161638,11,9,2,6,1,4,0,0,0,40,6,0
31,-1,345497,0,6,2,-1,0,4,1,0,0,40,38,0
19,3,183258,15,10,4,0,3,4,1,0,0,40,38,0
43,4,602513,12,14,2,3,0,4,1,0,0,50,38,1
38,3,40077,11,9,2,2,0,4,1,0,0,50,38,1
30,3,271933,11,9,0,0,1,4,0,0,0,40,38,0
32,1,95530,15,10,2,7,0,4,1,0,0,40,38,0
32,3,207113,0,6,0,2,4,4,1,0,0,40,38,0
40,6,50093,12,14,0,9,4,4,0,0,0,20,38,0
42,3,146659,10,16,2,9,0,4,1,0,1902,50,38,1
20,3,212582,15,10,4,7,3,4,0,0,0,16,38,0
65,3,169047,11,9,4,6,1,4,1,0,0,10,38,0
39,3,387068,11,9,2,3,0,4,1,0,0,40,38,1
37,3,349116,11,9,4,11,1,2,1,0,0,44,38,0
52,3,177858,11,9,0,2,2,4,1,0,0,55,38,1
49,3,165468,11,9,2,3,0,4,1,7688,0,55,38,1
41,4,32016,11,9,2,11,0,4,1,0,0,62,38,0
17,3,286960,1,7,4,9,3,4,1,0,0,40,38,0
70,3,220589,15,10,6,3,1,4,0,0,0,12,38,0
35,3,187693,11,9,4,6,3,4,1,0,0,40,38,0
40,3,215596,9,13,3,7,1,3,1,0,0,40,25,0
33,-1,152875,9,13,2,-1,5,1,0,0,0,40,2,0
30,3,128065,15,10,2,12,0,4,1,0,0,45,38,0
35,3,30565,11,9,1,7,5,4,0,0,0,40,38,1
29,3,490332,15,10,2,13,0,4,1,0,0,45,38,1
20,3,122971,15,10,4,11,3,4,1,0,0,35,38,0
45,3,103538,11,9,2,0,0,4,1,0,0,40,38,1
33,1,154874,15,10,2,10,0,4,1,0,0,40,38,0
