age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
48.0,5.0,309895.0,,,0.0,5.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0
67.0,1.0,256821.0,11.0,,,,1.0,,1.0,0.0,0.0,20.0,38.0,0
40.0,6.0,182460.0,,14.0,2.0,,5.0,1.0,,,0.0,38.0,2.0,1
20.0,,224640.0,15.0,,4.0,0.0,3.0,,,0.0,0.0,40.0,,0
68.0,3.0,217424.0,11.0,,,10.0,0.0,4.0,,,,24.0,38.0,0
50.0,3.0,221336.0,11.0,9.0,0.0,,2.0,,,0.0,0.0,40.0,29.0,0
20.0,3.0,,,10.0,,5.0,3.0,,1.0,0.0,0.0,20.0,38.0,0
64.0,4.0,272531.0,11.0,9.0,2.0,,,,1.0,0.0,,40.0,38.0,1
17.0,,,2.0,8.0,4.0,7.0,3.0,4.0,0.0,,0.0,8.0,,0
,3.0,74883.0,,13.0,4.0,12.0,,,0.0,0.0,1092.0,40.0,29.0,0
46.0,3.0,251786.0,3.0,,5.0,7.0,1.0,4.0,0.0,0.0,,40.0,,0
,5.0,176280.0,,,0.0,7.0,1.0,,1.0,0.0,,50.0,38.0,0
26.0,3.0,,15.0,10.0,4.0,6.0,1.0,1.0,1.0,0.0,,40.0,29.0,0
62.0,,215944.0,4.0,3.0,,4.0,0.0,4.0,1.0,0.0,0.0,30.0,38.0,0
48.0,3.0,50880.0,15.0,10.0,2.0,2.0,,4.0,1.0,0.0,0.0,40.0,10.0,0
,6.0,169323.0,12.0,,4.0,9.0,1.0,4.0,,,0.0,40.0,38.0,0
,,139464.0,,13.0,,9.0,4.0,4.0,0.0,0.0,0.0,,20.0,0
,3.0,223277.0,,13.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,50.0,38.0,1
44.0,3.0,52028.0,3.0,2.0,2.0,7.0,5.0,1.0,0.0,0.0,0.0,40.0,39.0,0
18.0,5.0,258474.0,0.0,6.0,4.0,,3.0,4.0,1.0,0.0,0.0,,38.0,0
23.0,3.0,53306.0,11.0,9.0,4.0,2.0,1.0,4.0,1.0,,0.0,30.0,38.0,0
,1.0,189956.0,9.0,13.0,2.0,9.0,5.0,2.0,0.0,,0.0,,38.0,1
34.0,1.0,240252.0,12.0,14.0,2.0,3.0,,4.0,1.0,0.0,0.0,40.0,38.0,1
,3.0,169104.0,9.0,13.0,4.0,11.0,3.0,1.0,1.0,0.0,0.0,40.0,-1.0,0
33.0,,,15.0,10.0,2.0,,0.0,4.0,1.0,0.0,0.0,,,1
50.0,,167728.0,,16.0,2.0,9.0,0.0,4.0,1.0,0.0,0.0,60.0,38.0,1
,,92775.0,8.0,11.0,0.0,2.0,1.0,,1.0,,0.0,40.0,38.0,0
54.0,-1.0,410114.0,11.0,9.0,,-1.0,0.0,,1.0,0.0,,40.0,,0
49.0,3.0,237920.0,,16.0,2.0,11.0,0.0,4.0,,0.0,0.0,60.0,38.0,0
22.0,1.0,244408.0,15.0,10.0,4.0,,,1.0,0.0,,0.0,,39.0,0
45.0,,289230.0,,13.0,,9.0,,4.0,,0.0,,48.0,38.0,1
41.0,3.0,187336.0,11.0,9.0,5.0,0.0,,4.0,0.0,0.0,0.0,40.0,38.0,0
