age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
48,5,309895,15,10,0,5,3,4,0,0,0,40,38,0
67,1,256821,11,9,0,10,1,2,1,0,0,20,38,0
40,6,182460,12,14,2,9,5,1,0,0,0,38,2,1
20,3,224640,15,10,4,0,3,4,0,0,0,40,38,0
68,3,217424,11,9,2,10,0,4,1,0,0,24,38,0
50,3,221336,11,9,0,0,2,1,0,0,0,40,29,0
20,3,258298,15,10,4,5,3,4,1,0,0,20,38,0
64,4,272531,11,9,2,2,0,4,1,0,0,40,38,1
17,3,206010,2,8,4,7,3,4,0,0,0,8,38,0
25,3,74883,9,13,4,12,1,1,0,0,1092,40,29,0
46,3,251786,3,2,5,7,1,4,0,0,0,40,25,0
56,5,176280,11,9,0,7,1,4,1,0,0,50,38,0
26,3,162302,15,10,4,6,1,1,1,0,0,40,29,0
62,5,215944,4,3,2,4,0,4,1,0,0,30,38,0
48,3,50880,15,10,2,2,0,4,1,0,0,40,10,0
26,6,169323,12,14,4,9,1,4,0,0,0,40,38,0
50,3,139464,9,13,0,9,4,4,0,0,0,36,20,0
40,3,223277,9,13,2,0,0,4,1,0,0,50,38,1
44,3,52028,3,2,2,7,5,1,0,0,0,40,39,0
18,5,258474,0,6,4,4,3,4,1,0,0,40,38,0
23,3,53306,11,9,4,2,1,4,1,0,0,30,38,0
41,1,189956,9,13,2,9,5,2,0,0,0,40,38,1
34,1,240252,12,14,2,3,0,4,1,0,0,40,38,1
31,3,169104,9,13,4,11,3,1,1,0,0,40,-1,0
33,3,172664,15,10,2,3,0,4,1,0,0,70,38,1
50,5,167728,10,16,2,9,0,4,1,0,0,60,38,1
43,0,92775,8,11,0,2,1,4,1,0,0,40,38,0
54,-1,410114,11,9,2,-1,0,4,1,0,0,40,38,0
49,3,237920,10,16,2,11,0,4,1,0,0,60,38,0
22,1,244408,15,10,4,0,1,1,0,0,0,40,39,0
