age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
48.0,5.0,309895.0,15.0,10.0,0.0,5.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0
67.0,1.0,256821.0,11.0,9.0,0.0,10.0,1.0,2.0,1.0,0.0,0.0,20.0,38.0,0
40.0,6.0,182460.0,,14.0,,9.0,5.0,1.0,0.0,0.0,0.0,,2.0,1
20.0,3.0,224640.0,15.0,10.0,4.0,0.0,3.0,,0.0,0.0,0.0,40.0,38.0,0
68.0,3.0,217424.0,11.0,9.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,24.0,,0
50.0,3.0,221336.0,11.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,40.0,29.0,0
20.0,3.0,258298.0,15.0,10.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,20.0,38.0,0
64.0,4.0,272531.0,11.0,9.0,2.0,2.0,0.0,4.0,1.0,0.0,,40.0,38.0,1
17.0,3.0,206010.0,,8.0,4.0,7.0,3.0,4.0,0.0,,0.0,8.0,38.0,0
25.0,3.0,74883.0,9.0,13.0,4.0,12.0,1.0,1.0,0.0,0.0,1092.0,,29.0,0
,3.0,251786.0,,2.0,5.0,7.0,1.0,4.0,0.0,0.0,0.0,40.0,25.0,0
,5.0,176280.0,11.0,9.0,0.0,7.0,1.0,4.0,1.0,0.0,0.0,50.0,38.0,0
26.0,3.0,162302.0,15.0,10.0,4.0,6.0,,,1.0,0.0,0.0,40.0,29.0,0
62.0,5.0,215944.0,4.0,3.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,30.0,,0
48.0,3.0,50880.0,,10.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,40.0,10.0,0
26.0,6.0,169323.0,12.0,14.0,4.0,9.0,1.0,,0.0,0.0,0.0,40.0,38.0,0
50.0,,139464.0,9.0,13.0,0.0,9.0,4.0,4.0,,,0.0,36.0,20.0,0
40.0,3.0,223277.0,9.0,13.0,2.0,0.0,0.0,,1.0,0.0,0.0,50.0,,1
44.0,3.0,52028.0,,2.0,2.0,7.0,,1.0,0.0,0.0,0.0,40.0,39.0,0
18.0,5.0,258474.0,0.0,6.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0
23.0,3.0,,11.0,9.0,4.0,2.0,1.0,4.0,1.0,0.0,0.0,30.0,38.0,0
41.0,1.0,189956.0,9.0,13.0,2.0,,5.0,2.0,0.0,0.0,0.0,40.0,,1
,1.0,240252.0,12.0,14.0,2.0,3.0,0.0,4.0,,0.0,0.0,40.0,38.0,1
31.0,3.0,169104.0,9.0,13.0,,11.0,3.0,1.0,1.0,0.0,0.0,40.0,-1.0,0
33.0,3.0,172664.0,15.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,70.0,38.0,1
50.0,5.0,167728.0,10.0,16.0,2.0,9.0,0.0,4.0,,0.0,0.0,,38.0,1
43.0,0.0,92775.0,8.0,11.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0
54.0,-1.0,410114.0,,9.0,2.0,-1.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0
49.0,3.0,,10.0,16.0,2.0,11.0,,4.0,1.0,0.0,0.0,60.0,,0
22.0,,244408.0,15.0,10.0,4.0,0.0,,1.0,0.0,0.0,,40.0,39.0,0
45.0,3.0,289230.0,9.0,13.0,0.0,9.0,4.0,4.0,0.0,,0.0,48.0,38.0,1
,,,11.0,9.0,5.0,0.0,4.0,4.0,0.0,,0.0,40.0,38.0,0
31.0,3.0,234387.0,11.0,9.0,0.0,3.0,,2.0,0.0,0.0,0.0,40.0,38.0,0
40.0,3.0,70645.0,13.0,1.0,4.0,7.0,1.0,4.0,0.0,,0.0,20.0,38.0,0
30.0,3.0,55481.0,12.0,14.0,4.0,12.0,,4.0,,0.0,0.0,45.0,26.0,0
28.0,3.0,184831.0,15.0,10.0,4.0,2.0,4.0,4.0,1.0,0.0,0.0,40.0,38.0,0
29.0,0.0,184723.0,15.0,,4.0,7.0,1.0,4.0,,0.0,0.0,40.0,38.0,1
23.0,3.0,197904.0,11.0,9.0,4.0,7.0,4.0,,0.0,,0.0,35.0,38.0,0
42.0,3.0,,11.0,9.0,4.0,2.0,3.0,,1.0,0.0,0.0,40.0,-1.0,0
43.0,3.0,,15.0,,2.0,13.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0
31.0,3.0,62165.0,11.0,9.0,4.0,7.0,3.0,2.0,1.0,0.0,0.0,40.0,38.0,0
43.0,3.0,397280.0,7.0,12.0,4.0,9.0,1.0,,1.0,0.0,0.0,50.0,38.0,1
31.0,6.0,,9.0,13.0,2.0,9.0,5.0,4.0,0.0,0.0,1902.0,35.0,38.0,1
26.0,4.0,246025.0,11.0,9.0,5.0,11.0,4.0,4.0,0.0,0.0,0.0,20.0,15.0,0
52.0,1.0,186117.0,11.0,9.0,,10.0,0.0,4.0,1.0,0.0,,56.0,,1
54.0,3.0,340476.0,11.0,9.0,5.0,11.0,4.0,4.0,0.0,0.0,0.0,35.0,38.0,0
20.0,3.0,113307.0,5.0,4.0,4.0,6.0,2.0,4.0,1.0,0.0,0.0,40.0,38.0,0
33.0,3.0,192644.0,,9.0,5.0,5.0,4.0,,1.0,0.0,0.0,,32.0,0
26.0,6.0,152457.0,11.0,,4.0,10.0,1.0,,1.0,0.0,0.0,40.0,38.0,0
32.0,3.0,134886.0,11.0,9.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,40.0,38.0,1
43.0,3.0,118536.0,11.0,,0.0,6.0,2.0,2.0,1.0,0.0,0.0,40.0,38.0,0
41.0,1.0,213019.0,12.0,14.0,0.0,9.0,,4.0,0.0,,0.0,40.0,,0
21.0,-1.0,204226.0,15.0,10.0,4.0,-1.0,,4.0,0.0,0.0,0.0,35.0,38.0,0
33.0,3.0,132601.0,9.0,13.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,55.0,38.0,1
23.0,-1.0,55492.0,8.0,11.0,4.0,,1.0,0.0,0.0,0.0,0.0,30.0,38.0,0
,3.0,147560.0,15.0,10.0,2.0,11.0,0.0,4.0,1.0,0.0,1902.0,55.0,38.0,1
40.0,3.0,219591.0,0.0,6.0,2.0,2.0,0.0,,1.0,,,50.0,38.0,0
25.0,3.0,233461.0,7.0,12.0,4.0,12.0,1.0,4.0,1.0,0.0,0.0,30.0,38.0,0
22.0,6.0,124942.0,15.0,10.0,4.0,7.0,3.0,4.0,1.0,0.0,0.0,45.0,38.0,0
18.0,3.0,84253.0,1.0,7.0,4.0,7.0,3.0,4.0,0.0,0.0,0.0,24.0,38.0,0
26.0,1.0,425092.0,12.0,14.0,4.0,9.0,1.0,4.0,0.0,2174.0,,40.0,38.0,0
41.0,3.0,439919.0,4.0,3.0,2.0,4.0,,4.0,1.0,3411.0,0.0,40.0,25.0,0
45.0,3.0,106113.0,15.0,,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1
29.0,,166210.0,15.0,10.0,0.0,12.0,1.0,4.0,,0.0,0.0,55.0,38.0,0
46.0,3.0,110171.0,,10.0,2.0,2.0,,4.0,1.0,7688.0,0.0,40.0,38.0,1
19.0,3.0,,15.0,,,11.0,3.0,0.0,0.0,0.0,1721.0,25.0,38.0,0
25.0,3.0,34803.0,9.0,13.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,20.0,38.0,0
50.0,3.0,124094.0,11.0,9.0,2.0,2.0,0.0,,1.0,,0.0,40.0,30.0,0
49.0,1.0,276247.0,15.0,10.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0
33.0,5.0,270889.0,11.0,9.0,4.0,13.0,1.0,4.0,,0.0,0.0,60.0,38.0,0
54.0,3.0,172962.0,,9.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0
30.0,4.0,84119.0,9.0,13.0,4.0,3.0,3.0,4.0,,0.0,0.0,43.0,38.0,0
54.0,3.0,185407.0,9.0,13.0,2.0,3.0,0.0,4.0,1.0,,0.0,60.0,38.0,1
22.0,-1.0,313786.0,11.0,9.0,0.0,-1.0,2.0,2.0,0.0,0.0,0.0,40.0,38.0,0
45.0,,264526.0,7.0,12.0,0.0,6.0,3.0,,1.0,0.0,0.0,40.0,38.0,0
24.0,3.0,32311.0,15.0,10.0,2.0,,5.0,4.0,0.0,,0.0,40.0,38.0,0
42.0,3.0,154076.0,,9.0,2.0,9.0,0.0,4.0,1.0,7688.0,0.0,50.0,,1
38.0,3.0,91039.0,,14.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,65.0,,1
35.0,3.0,195744.0,11.0,9.0,2.0,7.0,0.0,4.0,,0.0,0.0,40.0,38.0,0
33.0,,121245.0,9.0,13.0,2.0,9.0,0.0,4.0,1.0,,0.0,60.0,38.0,1
46.0,3.0,130364.0,11.0,,4.0,2.0,,4.0,1.0,0.0,0.0,40.0,38.0,0
69.0,3.0,108196.0,0.0,6.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0,,38.0,0
25.0,3.0,313930.0,1.0,7.0,4.0,2.0,1.0,,1.0,0.0,0.0,40.0,25.0,0
40.0,3.0,336707.0,8.0,11.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,60.0,38.0,0
55.0,3.0,239404.0,0.0,6.0,2.0,13.0,0.0,2.0,1.0,0.0,0.0,45.0,38.0,0
54.0,3.0,377701.0,11.0,9.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,32.0,25.0,0
,3.0,109282.0,15.0,10.0,4.0,11.0,3.0,4.0,,0.0,0.0,20.0,38.0,0
17.0,,244589.0,1.0,7.0,4.0,11.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0
22.0,3.0,,9.0,13.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,30.0,38.0,0
56.0,3.0,282023.0,12.0,14.0,,,0.0,,1.0,0.0,0.0,40.0,38.0,1
44.0,0.0,218062.0,15.0,10.0,0.0,0.0,4.0,2.0,0.0,0.0,,40.0,38.0,0
25.0,3.0,179462.0,5.0,4.0,,5.0,4.0,4.0,,,0.0,40.0,38.0,0
,3.0,162282.0,8.0,11.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0
29.0,3.0,133420.0,15.0,10.0,2.0,2.0,0.0,4.0,1.0,5013.0,0.0,40.0,38.0,0
37.0,3.0,212465.0,11.0,9.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0
,4.0,189404.0,15.0,10.0,2.0,11.0,0.0,4.0,1.0,0.0,1740.0,40.0,38.0,0
26.0,3.0,121559.0,11.0,9.0,2.0,2.0,0.0,,1.0,0.0,0.0,,38.0,0
39.0,3.0,156897.0,11.0,9.0,4.0,2.0,3.0,4.0,1.0,0.0,2258.0,42.0,38.0,1
,,130849.0,15.0,10.0,4.0,11.0,3.0,4.0,,0.0,0.0,15.0,38.0,0
37.0,5.0,338320.0,12.0,14.0,4.0,3.0,1.0,4.0,,0.0,0.0,60.0,38.0,0
,3.0,,11.0,9.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,99.0,38.0,1
29.0,3.0,145592.0,11.0,9.0,,2.0,1.0,4.0,1.0,,0.0,40.0,,0
,,261056.0,9.0,13.0,4.0,9.0,3.0,2.0,0.0,2174.0,0.0,60.0,-1.0,0
58.0,3.0,312131.0,,14.0,2.0,11.0,,4.0,1.0,,0.0,40.0,38.0,0
22.0,3.0,236907.0,15.0,10.0,4.0,5.0,3.0,4.0,1.0,,0.0,20.0,38.0,0
